epoch,value
1620002634.2410002,8251011.072
1620002649.2410002,8552546.304
1620002664.2410002,7814021.12
1620002679.2410002,7799500.8
1620002694.2410002,7788097.536
1620002709.2410002,7777837.056
1620002724.2410002,7768571.904
1620002739.2410002,7755845.632
1620002754.2410002,7741997.056
1620002769.2410002,7734857.728
1620002784.2410002,7723991.04
1620002799.2410002,7713439.744
1620002814.2410002,7702683.648
1620002829.2410002,7687401.472
1620002844.2410002,7680761.856
1620002859.2410002,7663321.088
1620002874.2410002,7653294.08
1620002889.2410002,7679635.456
1620002904.2410002,7670640.64
1620002919.2410002,7658668.032
1620002934.2410002,7648546.816
1620002949.2410002,7634452.48
1620002964.2410002,7632244.736
1620002979.2410002,7614533.632
1620002994.2410002,7603400.704
1620003009.2410002,7589941.248
1620003024.2410002,7580741.632
1620003039.2410002,7571128.32
1620003054.2410002,7559794.688
1620003069.2410002,7548633.088
1620003084.2410002,7537369.088
1620003099.2410002,7527968.768
1620003114.2410002,7514431.488
1620003129.2410002,7509602.304
1620003144.2410002,7491813.376
1620003159.2410002,7460331.52
1620003174.2410002,7450206.208
