epoch,value
1620002634.2410002,37637070.848
1620002649.2410002,37336653.824
1620002664.2410002,38074421.248
1620002679.2410002,38089015.296
1620002694.2410002,38100701.184
1620002709.2410002,38111309.824
1620002724.2410002,38120329.216
1620002739.2410002,38133161.984
1620002754.2410002,38146830.336
1620002769.2410002,38154076.16
1620002784.2410002,38164832.256
1620002799.2410002,38175571.968
1620002814.2410002,38186090.496
1620002829.2410002,38201413.632
1620002844.2410002,38207565.824
1620002859.2410002,38224093.184
1620002874.2410002,38233133.056
1620002889.2410002,38207229.952
1620002904.2410002,38215614.464
1620002919.2410002,38227099.648
1620002934.2410002,38236897.28
1620002949.2410002,38251167.744
1620002964.2410002,38253244.416
1620002979.2410002,38271373.312
1620002994.2410002,38282788.864
1620003009.2410002,38296166.4
1620003024.2410002,38305288.192
1620003039.2410002,38315016.192
1620003054.2410002,38325792.768
1620003069.2410002,38337310.72
1620003084.2410002,38348759.04
1620003099.2410002,38358196.224
1620003114.2410002,38371700.736
1620003129.2410002,38376902.656
1620003144.2410002,38395015.168
1620003159.2410002,38426472.448
1620003174.2410002,38436036.608
