epoch,value
1620002638.4020002,3.81
1620002653.4020002,3.75
1620002668.4020002,3.73
1620002683.4020002,3.69
1620002698.4020002,3.64
1620002713.4020002,3.6
1620002728.4020002,3.64
1620002743.4020002,3.68
1620002758.4020002,3.62
1620002773.4020002,3.56
1620002788.4020002,3.59
1620002803.4020002,3.54
1620002818.4020002,3.58
1620002833.4020002,3.61
1620002848.4020002,3.72
1620002863.4029999,3.67
1620002878.4020002,3.62
1620002893.4020002,3.57
1620002908.4020002,3.6
1620002923.4020002,3.71
1620002938.4020002,3.74
1620002953.4020002,3.69
1620002968.4020002,3.71
1620002983.4020002,3.66
1620002998.4020002,3.62
1620003013.4020002,3.57
1620003028.4020002,3.54
1620003043.4020002,3.5
1620003058.4020002,3.45
1620003073.4020002,3.41
1620003088.4020002,3.37
1620003103.4020002,3.34
1620003118.4020002,3.29
1620003133.4020002,3.27
1620003148.4020002,3.23
1620003163.4020002,3.19
1620003178.4020002,3.16
