epoch,value
1620002638.4020002,4.7
1620002653.4020002,4.47
1620002668.4020002,4.37
1620002683.4020002,4.24
1620002698.4020002,4.06
1620002713.4020002,3.91
1620002728.4020002,4.02
1620002743.4020002,4.11
1620002758.4020002,3.91
1620002773.4020002,3.71
1620002788.4020002,3.81
1620002803.4020002,3.64
1620002818.4020002,3.77
1620002833.4020002,3.85
1620002848.4020002,4.18
1620002863.4029999,4.0
1620002878.4020002,3.84
1620002893.4020002,3.67
1620002908.4020002,3.76
1620002923.4020002,4.09
1620002938.4020002,4.15
1620002953.4020002,4.0
1620002968.4020002,4.05
1620002983.4020002,3.88
1620002998.4020002,3.72
1620003013.4020002,3.59
1620003028.4020002,3.48
1620003043.4020002,3.36
1620003058.4020002,3.22
1620003073.4020002,3.13
1620003088.4020002,3.03
1620003103.4020002,2.93
1620003118.4020002,2.81
1620003133.4020002,2.76
1620003148.4020002,2.69
1620003163.4020002,2.59
1620003178.4020002,2.51
