epoch,value
1620002638.4020002,5.98
1620002653.4020002,4.66
1620002668.4020002,4.18
1620002683.4020002,3.63
1620002698.4020002,2.96
1620002713.4020002,2.53
1620002728.4020002,3.27
1620002743.4020002,3.89
1620002758.4020002,3.03
1620002773.4020002,2.36
1620002788.4020002,3.18
1620002803.4020002,2.55
1620002818.4020002,3.38
1620002833.4020002,3.9
1620002848.4020002,5.41
1620002863.4029999,4.36
1620002878.4020002,3.54
1620002893.4020002,2.83
1620002908.4020002,3.38
1620002923.4020002,5.0
1620002938.4020002,5.16
1620002953.4020002,4.24
1620002968.4020002,4.5
1620002983.4020002,3.65
1620002998.4020002,2.99
1620003013.4020002,2.55
1620003028.4020002,2.27
1620003043.4020002,1.99
1620003058.4020002,1.7
1620003073.4020002,1.62
1620003088.4020002,1.48
1620003103.4020002,1.37
1620003118.4020002,1.22
1620003133.4020002,1.32
1620003148.4020002,1.33
1620003163.4020002,1.18
1620003178.4020002,1.14
