epoch,value
1620002638.4020002,1948405.76
1620002653.4020002,1948409.856
1620002668.4020002,1948413.952
1620002683.4020002,1948413.952
1620002698.4020002,1948418.048
1620002713.4020002,1948418.048
1620002728.4020002,1948422.144
1620002743.4020002,1948426.24
1620002758.4020002,1948426.24
1620002773.4020002,1948426.24
1620002788.4020002,1948438.528
1620002803.4020002,1948446.72
1620002818.4020002,1948450.816
1620002833.4020002,1948479.488
1620002848.4020002,1948479.488
1620002863.4020002,1948512.256
1620002878.4020002,1948524.544
1620002893.4020002,1948540.928
1620002908.4020002,1948557.312
1620002923.4020002,1948577.792
1620002938.4020002,1948602.368
1620002953.4020002,1948606.464
1620002968.4020002,1948639.232
1620002983.4020002,1948643.328
1620002998.4020002,1948733.44
1620003013.4020002,1948741.632
1620003028.4020002,1948758.016
1620003043.4020002,1948762.112
1620003058.4020002,1948766.208
1620003073.4020002,1948770.304
1620003088.4020002,1948778.496
1620003103.4020002,1948778.496
1620003118.4020002,1948782.592
1620003133.4020002,1948782.592
1620003148.4020002,1948798.976
1620003163.4020002,1948798.976
1620003178.4020002,1948798.976
