epoch,value
1620002638.4020002,8700764.16
1620002653.4020002,8682999.808
1620002668.4020002,9153413.12
1620002683.4020002,9185017.856
1620002698.4020002,9169600.512
1620002713.4020002,9154625.536
1620002728.4020002,9265958.912
1620002743.4020002,9250238.464
1620002758.4020002,9234341.888
1620002773.4020002,9230147.584
1620002788.4020002,9315123.2
1620002803.4020002,9315127.296
1620002818.4020002,9377366.016
1620002833.4020002,9418313.728
1620002848.4020002,9418354.688
1620002863.4020002,9447985.152
1620002878.4020002,9506680.832
1620002893.4020002,9411727.36
1620002908.4020002,9411768.32
1620002923.4020002,9315176.448
1620002938.4020002,9315225.6
1620002953.4020002,9315319.808
1620002968.4020002,9315340.288
1620002983.4020002,9315426.304
1620002998.4020002,9402216.448
1620003013.4020002,9402253.312
1620003028.4020002,9190862.848
1620003043.4020002,9190879.232
1620003058.4020002,9190797.312
1620003073.4020002,9190813.696
1620003088.4020002,9629884.416
1620003103.4020002,10508062.72
1620003118.4020002,10996379.648
1620003133.4020002,10837753.856
1620003148.4020002,10972454.912
1620003163.4020002,11320975.36
1620003178.4020002,11192872.96
