epoch,value
1620002638.4020002,20232945.664
1620002653.4020002,20711682.048
1620002668.4020002,19562074.112
1620002683.4020002,18846687.232
1620002698.4020002,18825322.496
1620002713.4020002,18316066.816
1620002728.4020002,18113753.088
1620002743.4020002,18087936.0
1620002758.4020002,18095247.36
1620002773.4020002,18099240.96
1620002788.4020002,18001641.472
1620002803.4020002,18045972.48
1620002818.4020002,17928380.416
1620002833.4020002,17884217.344
1620002848.4020002,17887870.976
1620002863.4020002,17843003.392
1620002878.4020002,17785044.992
1620002893.4020002,17887870.976
1620002908.4020002,17891364.864
1620002923.4020002,17969319.936
1620002938.4020002,17919426.56
1620002953.4020002,17958637.568
1620002968.4020002,17954717.696
1620002983.4020002,17958957.056
1620002998.4020002,17938436.096
1620003013.4020002,17810599.936
1620003028.4020002,18010861.568
1620003043.4020002,18010521.6
1620003058.4020002,18007146.496
1620003073.4020002,18007519.232
1620003088.4020002,17506185.216
1620003103.4020002,16630333.44
1620003118.4020002,16142110.72
1620003133.4020002,16107122.688
1620003148.4020002,16206585.856
1620003163.4020002,15816249.344
1620003178.4020002,15934386.176
