epoch,value
1620002638.4020002,1562578.944
1620002653.4020002,1103093.76
1620002668.4020002,1781944.32
1620002683.4020002,2465390.592
1620002698.4020002,2502561.792
1620002713.4020002,3027275.776
1620002728.4020002,3118096.384
1620002743.4020002,3159924.736
1620002758.4020002,3168747.52
1620002773.4020002,3169001.472
1620002788.4020002,3181563.904
1620002803.4020002,3137236.992
1620002818.4020002,3192696.832
1620002833.4020002,3195908.096
1620002848.4020002,3192311.808
1620002863.4020002,3207475.2
1620002878.4020002,3206889.472
1620002893.4020002,3199008.768
1620002908.4020002,3195523.072
1620002923.4020002,3213656.064
1620002938.4020002,3263479.808
1620002953.4020002,3224141.824
1620002968.4020002,3228090.368
1620002983.4020002,3223814.144
1620002998.4020002,3156787.2
1620003013.4020002,3284520.96
1620003028.4020002,3295559.68
1620003043.4020002,3296010.24
1620003058.4020002,3299254.272
1620003073.4020002,3298852.864
1620003088.4020002,3360927.744
1620003103.4020002,3358650.368
1620003118.4020002,3358740.48
1620003133.4020002,3551907.84
1620003148.4020002,3317993.472
1620003163.4020002,3359776.768
1620003178.4020002,3369664.512
