epoch,value
T0,10974.43
T1,10974.43
T2,1708051.7820000001
T3,6375014.5
T4,5100419.198
T5,2037.9900000000002
T6,2037.9900000000002
T7,2037.9900000000002
T8,2037.9900000000002
T9,2037.9900000000002
T10,2037.99
T11,2037.9900000000002
T12,2037.9900000000002
T13,2037.99
T14,2037.99
T15,2037.99
T16,2037.99
T17,2037.99
T18,2037.99
T19,2037.99
T20,2037.9900000000002
T21,2037.9900000000002
T22,2037.9900000000002
T23,2037.99
T24,2254.415333333333
T25,3661.18
T26,6588.734666666666
T27,25617.840000000004
T28,21705.994000000002
T29,6058.61
T30,6058.61
T31,1429828.7953333333
T32,10684335.0
T33,10684335.0
T34,10725946.0
T35,10892390.0
T36,0.0
T37,0.0
