epoch,value
T0,3061.2900000000004
T1,3061.2900000000004
T2,30470.393999999997
T3,105845.43
T4,85006.394
T5,1650.25
T6,1650.25
T7,1650.25
T8,1650.25
T9,1650.25
T10,1650.25
T11,1650.25
T12,1650.25
T13,1650.25
T14,1650.25
T15,1650.25
T16,1650.25
T17,1650.25
T18,1650.25
T19,1650.25
T20,1650.25
T21,1650.25
T22,1650.25
T23,1650.25
T24,1785.3366666666666
T25,2663.4000000000005
T26,4621.970666666666
T27,17352.68
T28,14530.068000000001
T29,3239.62
T30,3239.62
T31,15962.484
T32,98661.10000000002
T33,98661.10000000002
T34,2504775.08
T35,12129231.0
T36,0.0
T37,0.0
