epoch,value
T0,99.0
T1,99.0
T2,97.85333333333332
T3,91.84
T4,80.4
T5,74.4
T6,52.16
T7,63.86000000000001
T8,82.5
T9,76.4
T10,54.013333333333335
T11,64.8
T12,55.6
T13,55.88
T14,57.54
T15,56.99333333333333
T16,60.2
T17,60.626666666666665
T18,63.05333333333333
T19,61.25333333333333
T20,64.2
T21,64.08
T22,62.166666666666664
T23,63.766666666666666
T24,95.4
T25,95.4
T26,95.4
T27,95.40000000000002
T28,95.40000000000002
T29,95.53333333333333
T30,96.4
T31,96.4
T32,96.40000000000002
T33,96.26
T34,95.96000000000001
T35,96.72
T36,0.0
T37,0.0
