epoch,value
T0,0.7
T1,0.7
T2,1.7933333333333332
T3,7.64
T4,19.0
T5,25.0
T6,47.28
T7,35.739999999999995
T8,17.1
T9,23.180000000000003
T10,45.5
T11,34.72
T12,43.6
T13,43.373333333333335
T14,42.059999999999995
T15,42.59333333333334
T16,39.3
T17,38.9
T18,36.63333333333333
T19,38.346666666666664
T20,35.4
T21,35.519999999999996
T22,37.42666666666667
T23,35.720000000000006
T24,4.0
T25,4.0
T26,4.0
T27,4.0
T28,4.0
T29,3.9066666666666667
T30,3.3
T31,3.3
T32,3.2999999999999994
T33,3.0999999999999996
T34,2.3399999999999994
T35,2.58
T36,0.0
T37,0.0
