epoch,value
T0,1285.526
T1,1285.526
T2,1285.526
T3,1285.4284000000002
T4,1285.038
T5,1285.038
T6,1285.038
T7,1285.038
T8,1285.038
T9,1285.038
T10,1285.038
T11,1285.038
T12,1285.038
T13,1285.038
T14,1285.038
T15,1285.0101333333332
T16,1284.829
T17,1284.829
T18,1284.829
T19,1284.829
T20,1284.8290000000002
T21,1284.8290000000002
T22,1284.8290000000002
T23,1284.829
T24,1284.829
T25,1284.829
T26,1284.829
T27,1284.8692
T28,1285.03
T29,1285.03
T30,1285.03
T31,1284.8514666666667
T32,1283.691
T33,1283.691
T34,1283.691
T35,1283.691
T36,0.0
T37,0.0
