epoch,value
T0,3.08
T1,3.08
T2,3.08
T3,3.0780000000000003
T4,3.07
T5,3.1859999999999995
T6,3.698
T7,3.89
T8,3.89
T9,4.01
T10,4.49
T11,4.49
T12,4.49
T13,4.5566666666666675
T14,5.036666666666667
T15,5.34
T16,5.34
T17,5.34
T18,5.34
T19,5.34
T20,5.391333333333333
T21,6.11
T22,6.153333333333334
T23,6.745333333333333
T24,6.65
T25,6.636666666666667
T26,6.536666666666666
T27,6.432
T28,6.36
T29,6.346666666666667
T30,6.26
T31,6.26
T32,6.260000000000001
T33,6.260000000000001
T34,6.260000000000001
T35,6.212000000000001
T36,0.0
T37,0.0
