epoch,value
T0,3.85
T1,3.85
T2,3.85
T3,3.814
T4,3.67
T5,4.005999999999999
T6,5.471999999999999
T7,5.959999999999999
T8,5.959999999999999
T9,6.27
T10,7.51
T11,7.510000000000001
T12,7.510000000000001
T13,7.6273333333333335
T14,8.503333333333334
T15,9.24
T16,9.24
T17,9.24
T18,9.24
T19,9.24
T20,9.324666666666667
T21,10.509999999999998
T22,10.603333333333332
T23,11.823333333333334
T24,11.26
T25,11.18
T26,10.581333333333335
T27,9.968000000000002
T28,9.56
T29,9.491999999999999
T30,9.05
T31,9.05
T32,9.05
T33,9.05
T34,9.05
T35,8.762
T36,0.0
T37,0.0
