epoch,value
T0,2306712.0
T1,2306712.0
T2,2306712.0
T3,2306712.0
T4,2306712.0
T5,2306712.0
T6,2306712.0
T7,2306712.0
T8,2306712.0
T9,2306712.0
T10,2306712.533333333
T11,2306716.0
T12,2306716.0
T13,2306716.0
T14,2306716.0
T15,2306716.0
T16,2306716.0
T17,2306716.0
T18,2306716.0
T19,2306716.0
T20,2306716.0
T21,2306716.0
T22,2306716.0
T23,2306716.0
T24,2306716.0
T25,2306716.0
T26,2306716.0
T27,2306716.0
T28,2306716.0
T29,2306716.0
T30,2306716.0
T31,2306717.066666667
T32,2306724.0
T33,2306724.0
T34,2306725.6
T35,2306732.0
T36,0.0
T37,0.0
