epoch,value
T0,69221768.0
T1,69221768.0
T2,69348285.33333333
T3,69696208.0
T4,69696368.0
T5,69697008.0
T6,69697008.0
T7,69710595.2
T8,69764944.0
T9,69764944.0
T10,69774302.93333334
T11,69835136.0
T12,69848156.8
T13,69900240.0
T14,69900240.0
T15,69904594.13333334
T16,69932896.0
T17,69932896.0
T18,69920203.73333333
T19,69837704.0
T20,69837762.13333334
T21,69838576.0
T22,69838576.0
T23,69838654.93333334
T24,69839168.0
T25,69839168.0
T26,69821102.93333334
T27,69703680.0
T28,69722878.4
T29,69799672.0
T30,69799672.0
T31,69961161.06666666
T32,71010840.0
T33,71010840.0
T34,71074208.0
T35,71327680.0
T36,0.0
T37,0.0
