epoch,value
T0,116609120.0
T1,116609120.0
T2,116322235.73333333
T3,115533304.0
T4,115474512.0
T5,115239344.0
T6,115239344.0
T7,115160948.8
T8,114847368.0
T9,114847368.0
T10,114823486.4
T11,114668256.0
T12,114654240.0
T13,114598176.0
T14,114598176.0
T15,114593602.13333334
T16,114563872.0
T17,114563872.0
T18,114577189.33333333
T19,114663752.0
T20,114665189.33333333
T21,114685312.0
T22,114685312.0
T23,114692106.66666667
T24,114736272.0
T25,114736272.0
T26,114743194.66666667
T27,114788192.0
T28,114769161.6
T29,114693040.0
T30,114693040.0
T31,114528621.86666666
T32,113459904.0
T33,113459904.0
T34,113398897.6
T35,113154872.0
T36,0.0
T37,0.0
