epoch,value
T0,15.67
T1,15.67
T2,1139.0033333333333
T3,4228.17
T4,3383.5060000000003
T5,4.85
T6,4.85
T7,4.85
T8,4.85
T9,4.85
T10,4.85
T11,4.85
T12,4.85
T13,4.85
T14,4.85
T15,4.85
T16,4.85
T17,4.85
T18,4.85
T19,4.85
T20,4.849999999999999
T21,4.849999999999999
T22,4.849999999999999
T23,4.85
T24,5.529999999999999
T25,9.95
T26,12.699333333333334
T27,30.570000000000004
T28,26.876
T29,12.099999999999998
T30,12.099999999999998
T31,952.0799999999999
T32,7061.95
T33,7061.95
T34,7439.254
T35,8948.47
T36,0.0
T37,0.0
