epoch,value
T0,15.270000000000001
T1,15.270000000000001
T2,267.918
T3,962.7000000000002
T4,771.464
T5,6.52
T6,6.52
T7,6.52
T8,6.52
T9,6.52
T10,6.52
T11,6.5200000000000005
T12,6.52
T13,6.519999999999999
T14,6.519999999999999
T15,6.519999999999999
T16,6.519999999999999
T17,6.519999999999999
T18,6.519999999999999
T19,6.519999999999999
T20,6.52
T21,6.52
T22,6.52
T23,6.5200000000000005
T24,7.141333333333333
T25,11.18
T26,13.838666666666667
T27,31.12
T28,27.38
T29,12.42
T30,12.42
T31,205.14933333333335
T32,1457.8899999999999
T33,1457.8899999999999
T34,3049.2960000000003
T35,9414.920000000002
T36,0.0
T37,0.0
