epoch,value
T0,5484.6
T1,33350.10400000001
T2,109980.24
T3,109980.24
T4,88452.07800000001
T5,2339.43
T6,2339.43
T7,2339.43
T8,2339.43
T9,8708.302
T10,34183.79
T11,34183.79
T12,27795.305999999997
T13,2241.37
T14,2241.37
T15,2241.37
T16,2241.37
T17,6519.289999999999
T18,34325.77
T19,34325.77
T20,32173.343999999997
T21,2039.38
T22,2039.38
T23,2039.3799999999999
T24,2039.3800000000003
T25,6326.240000000001
T26,34190.83
T27,34190.83
T28,27767.342
T29,2073.39
T30,2073.39
T31,2073.39
T32,2073.39
T33,2073.39
T34,2073.39
T35,2073.39
T36,0.0
T37,0.0
