epoch,value
T0,2651.65
T1,1707309.7433333332
T2,6395119.5
T3,6395119.5
T4,5116464.1
T5,1842.5
T6,1842.5
T7,1842.5
T8,1842.5
T9,1684.73
T10,1053.65
T11,1053.65
T12,2324.9320000000002
T13,7410.0599999999995
T14,7410.0599999999995
T15,7410.0599999999995
T16,7410.0599999999995
T17,7026.697333333333
T18,4534.84
T19,4534.84
T20,4267.342666666666
T21,522.38
T22,522.38
T23,522.38
T24,522.38
T25,715.9466666666667
T26,1974.13
T27,1974.1299999999999
T28,1829.262
T29,1249.79
T30,1249.79
T31,1249.79
T32,1249.7899999999997
T33,1249.79
T34,1249.79
T35,1249.79
T36,0.0
T37,0.0
