epoch,value
T0,9.3
T1,9.3
T2,8.926666666666668
T3,7.900000000000001
T4,7.900000000000001
T5,7.900000000000001
T6,7.900000000000001
T7,7.900000000000001
T8,7.900000000000001
T9,7.900000000000001
T10,7.9
T11,7.900000000000001
T12,7.900000000000001
T13,7.9
T14,7.966666666666667
T15,8.4
T16,8.4
T17,8.4
T18,8.4
T19,8.4
T20,8.366666666666667
T21,7.900000000000001
T22,7.900000000000001
T23,7.9
T24,7.9
T25,7.9
T26,7.913333333333333
T27,8.0
T28,8.0
T29,8.0
T30,8.0
T31,8.0
T32,7.96
T33,7.8
T34,7.8
T35,7.8
T36,0.0
T37,0.0
