epoch,value
T0,6001.994000000001
T1,6001.994000000001
T2,6001.994000000001
T3,6001.9940000000015
T4,6001.9940000000015
T5,6001.9940000000015
T6,6001.9940000000015
T7,6001.9940000000015
T8,6001.9940000000015
T9,6001.9940000000015
T10,6001.994000000001
T11,6001.992400000001
T12,6001.986
T13,6001.986
T14,6001.986
T15,6001.986
T16,6001.986
T17,6001.986
T18,6001.986
T19,6001.986
T20,6001.986000000001
T21,6001.986000000001
T22,6001.986000000001
T23,6001.9868
T24,6001.991999999999
T25,6001.991999999999
T26,6001.991999999999
T27,6001.991999999999
T28,6001.991999999999
T29,6001.991999999999
T30,6001.991999999999
T31,6001.991999999999
T32,6001.991999999999
T33,6001.991999999999
T34,6001.991999999999
T35,6001.9904
T36,0.0
T37,0.0
