epoch,value
T0,3.702
T1,3.68
T2,3.68
T3,3.68
T4,3.68
T5,3.68
T6,3.674
T7,3.65
T8,3.65
T9,3.65
T10,3.6499999999999995
T11,3.65
T12,3.642
T13,3.61
T14,3.61
T15,3.61
T16,3.61
T17,3.61
T18,3.6126666666666667
T19,3.63
T20,3.6300000000000003
T21,3.6300000000000003
T22,3.6300000000000003
T23,3.63
T24,3.623333333333333
T25,3.58
T26,3.58
T27,3.5800000000000005
T28,3.58
T29,3.58
T30,3.5746666666666664
T31,3.54
T32,3.5400000000000005
T33,3.5400000000000005
T34,3.5400000000000005
T35,3.5400000000000005
T36,0.0
T37,0.0
