epoch,value
T0,3.678666666666667
T1,3.6199999999999997
T2,3.6199999999999997
T3,3.6199999999999997
T4,3.6199999999999997
T5,3.6199999999999997
T6,3.61
T7,3.57
T8,3.57
T9,3.57
T10,3.57
T11,3.57
T12,3.548
T13,3.46
T14,3.46
T15,3.46
T16,3.46
T17,3.46
T18,3.4746666666666663
T19,3.57
T20,3.57
T21,3.57
T22,3.57
T23,3.57
T24,3.554
T25,3.45
T26,3.45
T27,3.4500000000000006
T28,3.4500000000000006
T29,3.45
T30,3.4393333333333334
T31,3.37
T32,3.3699999999999997
T33,3.3699999999999997
T34,3.3699999999999997
T35,3.3699999999999997
T36,0.0
T37,0.0
