epoch,value
T0,5321424.0
T1,5321431.466666667
T2,5321452.0
T3,5321452.0
T4,5321453.6
T5,5321460.0
T6,5321460.0
T7,5321460.0
T8,5321460.0
T9,5321461.6
T10,5321468.0
T11,5321468.0
T12,5321471.2
T13,5321484.0
T14,5321488.266666667
T15,5321516.0
T16,5321516.0
T17,5321517.066666666
T18,5321524.0
T19,5321524.0
T20,5321524.0
T21,5321524.0
T22,5321524.0
T23,5321524.0
T24,5321524.0
T25,5321526.133333334
T26,5321540.0
T27,5321540.0
T28,5321540.0
T29,5321540.0
T30,5321540.533333333
T31,5321544.0
T32,5321544.0
T33,5321544.0
T34,5321544.0
T35,5321544.0
T36,0.0
T37,0.0
