epoch,value
T0,67586816.0
T1,67586683.73333333
T2,67586320.0
T3,67586320.0
T4,67586352.0
T5,67586480.0
T6,67586513.6
T7,67586648.0
T8,67586648.0
T9,67586652.8
T10,67586672.0
T11,67586672.0
T12,67586702.4
T13,67586824.0
T14,67587016.0
T15,67588264.0
T16,67588264.0
T17,67588353.6
T18,67588936.0
T19,67588936.0
T20,67588947.2
T21,67589104.0
T22,67589106.13333334
T23,67589136.0
T24,67589136.0
T25,67589155.2
T26,67589280.0
T27,67589280.0
T28,67589286.4
T29,67589312.0
T30,67589316.26666667
T31,67589344.0
T32,67589344.0
T33,67589372.8
T34,67589488.0
T35,67589488.0
T36,0.0
T37,0.0
