epoch,value
T0,8057916.0
T1,7942094.133333334
T2,7623584.0
T3,7623584.0
T4,7616960.8
T5,7590468.0
T6,7584249.6
T7,7559376.0
T8,7559376.0
T9,7554132.8
T10,7533160.0
T11,7533160.0
T12,7527701.6
T13,7505868.0
T14,7501477.066666666
T15,7472936.0
T16,7472936.0
T17,7474347.733333333
T18,7483524.0
T19,7483524.0
T20,7481550.933333334
T21,7453928.0
T22,7452094.133333334
T23,7426420.0
T24,7426420.0
T25,7422727.2
T26,7398724.0
T27,7398724.0
T28,7392240.8
T29,7366308.0
T30,7362420.533333333
T31,7337152.0
T32,7337152.0
T33,7329640.0
T34,7299592.0
T35,7299592.0
T36,0.0
T37,0.0
