epoch,value
T0,14.28
T1,1149.7706666666668
T2,4272.37
T3,4272.37
T4,3419.0460000000003
T5,5.75
T6,5.75
T7,5.75
T8,5.75
T9,6.319999999999999
T10,8.6
T11,8.6
T12,8.533999999999999
T13,8.27
T14,8.27
T15,8.27
T16,8.27
T17,8.674
T18,11.3
T19,11.3
T20,10.793333333333333
T21,3.7000000000000006
T22,3.7000000000000006
T23,3.7
T24,3.7
T25,4.544
T26,10.03
T27,10.03
T28,9.038
T29,5.069999999999999
T30,5.070000000000001
T31,5.070000000000001
T32,5.070000000000001
T33,5.070000000000002
T34,5.070000000000002
T35,5.070000000000002
T36,0.0
T37,0.0
