epoch,value
T0,3550.23
T1,3550.23
T2,1724212.0353333333
T3,6456032.0
T4,6456032.0
T5,5165055.069999999
T6,1147.35
T7,1147.35
T8,1147.35
T9,1147.35
T10,1147.35
T11,1147.35
T12,1147.35
T13,1147.35
T14,1147.35
T15,1147.35
T16,1147.35
T17,1147.35
T18,1147.35
T19,1147.35
T20,1147.3499999999997
T21,1147.3499999999997
T22,1147.3499999999997
T23,1147.35
T24,1147.35
T25,1305.3980000000001
T26,4438.343333333333
T27,18124.96
T28,18124.96
T29,15994.257333333333
T30,2144.69
T31,308994.46466666664
T32,2303518.0
T33,2303518.0
T34,3835398.4
T35,9962920.0
T36,0.0
T37,0.0
