epoch,value
T0,39834.66
T1,39834.66
T2,1734703.9506666667
T3,6395594.5
T4,6395594.5
T5,5116981.546
T6,2529.7300000000005
T7,2529.7300000000005
T8,2529.7300000000005
T9,2529.7300000000005
T10,2529.73
T11,2529.7300000000005
T12,2529.7300000000005
T13,2529.73
T14,2529.73
T15,2529.73
T16,2529.73
T17,2529.73
T18,2529.73
T19,2529.73
T20,2529.7300000000005
T21,2529.7300000000005
T22,2529.7300000000005
T23,2529.73
T24,2529.73
T25,2767.1220000000003
T26,7625.655333333333
T27,29176.31
T28,29176.31
T29,25784.099333333335
T30,3734.73
T31,1435112.6326666665
T32,10739069.0
T33,10739069.0
T34,10771412.8
T35,10900788.0
T36,0.0
T37,0.0
