epoch,value
T0,78.11999999999999
T1,97.25333333333333
T2,92.6
T3,91.5
T4,88.8
T5,78.56
T6,81.8
T7,85.8
T8,88.53999999999999
T9,95.24
T10,78.46666666666667
T11,80.2
T12,80.18
T13,79.05999999999999
T14,71.44666666666667
T15,65.9
T16,68.9
T17,86.44000000000001
T18,74.36666666666666
T19,77.80666666666666
T20,72.0
T21,72.82666666666667
T22,84.71333333333334
T23,89.1
T24,89.7
T25,93.6
T26,93.6
T27,93.59999999999998
T28,93.59999999999998
T29,93.6
T30,93.86666666666666
T31,95.6
T32,95.07999999999998
T33,93.0
T34,93.61999999999999
T35,96.09999999999998
T36,0.0
T37,0.0
