epoch,value
T0,2198.573
T1,2198.5735333333337
T2,2198.575
T3,2198.575
T4,2198.575
T5,2198.575
T6,2198.575
T7,2198.575
T8,2198.575
T9,2198.575
T10,2198.575
T11,2198.575
T12,2198.575
T13,2198.4776666666667
T14,2197.845
T15,2197.845
T16,2197.845
T17,2197.845
T18,2197.845
T19,2197.845
T20,2197.845
T21,2197.845
T22,2197.845
T23,2197.845
T24,2197.845
T25,2197.8491333333327
T26,2197.8759999999997
T27,2197.8759999999997
T28,2197.8759999999997
T29,2197.8759999999997
T30,2197.8759999999993
T31,2197.8759999999997
T32,2197.8759999999997
T33,2197.8759999999993
T34,2197.8759999999993
T35,2197.8759999999993
T36,0.0
T37,0.0
