epoch,value
T0,4.308666666666666
T1,4.47
T2,4.47
T3,4.47
T4,4.47
T5,4.47
T6,4.37
T7,3.9699999999999998
T8,3.9699999999999998
T9,3.9699999999999998
T10,3.9699999999999998
T11,3.9699999999999998
T12,3.94
T13,3.8586666666666662
T14,4.082
T15,3.8999999999999995
T16,3.8693333333333326
T17,3.67
T18,3.71
T19,3.9699999999999998
T20,3.97
T21,3.97
T22,3.9566666666666674
T23,3.77
T24,3.77
T25,3.77
T26,3.77
T27,3.7700000000000005
T28,3.6420000000000003
T29,3.13
T30,3.13
T31,3.13
T32,3.1300000000000003
T33,3.1300000000000003
T34,3.0360000000000005
T35,2.660000000000001
T36,0.0
T37,0.0
