epoch,value
T0,1902744.0
T1,1902744.0
T2,1902745.0666666667
T3,1902748.0
T4,1902748.0
T5,1902750.4
T6,1902760.0
T7,1902760.0
T8,1902760.0
T9,1902760.0
T10,1902762.6666666667
T11,1902780.0
T12,1902780.0
T13,1902784.2666666666
T14,1902812.0
T15,1902820.0
T16,1902872.0
T17,1902872.0
T18,1902877.8666666667
T19,1902916.0
T20,1902916.0
T21,1902919.4666666666
T22,1902968.0
T23,1902980.8
T24,1903064.0
T25,1903064.0
T26,1903067.7333333334
T27,1903092.0
T28,1903092.0
T29,1903093.6
T30,1903104.0
T31,1903104.5333333334
T32,1903108.0
T33,1903108.0
T34,1903111.2
T35,1903124.0
T36,0.0
T37,0.0
