epoch,value
T0,8481540.0
T1,8481540.0
T2,8609623.2
T3,8961852.0
T4,8961852.0
T5,8978565.6
T6,9045420.0
T7,9039099.2
T8,9013816.0
T9,9013816.0
T10,9029001.6
T11,9127708.0
T12,9127708.0
T13,9137028.533333333
T14,9197612.0
T15,9196771.466666667
T16,9191308.0
T17,9191308.0
T18,9178720.266666668
T19,9096900.0
T20,9096900.0
T21,9096910.666666666
T22,9097060.0
T23,9108367.733333332
T24,9181868.0
T25,9181868.0
T26,9154336.8
T27,8975384.0
T28,8975384.0
T29,9055932.266666668
T30,9579496.0
T31,9701634.133333333
T32,10495532.0
T33,10495532.0
T34,10614789.6
T35,11091820.0
T36,0.0
T37,0.0
