epoch,value
T0,20224144.0
T1,20224144.0
T2,19739843.2
T3,18408016.0
T4,18408016.0
T5,18266884.8
T6,17702360.0
T7,17696896.0
T8,17675040.0
T9,17675040.0
T10,17656804.8
T11,17538276.0
T12,17538276.0
T13,17530364.533333335
T14,17478940.0
T15,17476323.466666665
T16,17459316.0
T17,17459316.0
T18,17475049.866666667
T19,17577320.0
T20,17577320.0
T21,17572435.466666665
T22,17504052.0
T23,17489316.533333335
T24,17393536.0
T25,17393536.0
T26,17418966.4
T27,17584264.0
T28,17584264.0
T29,17494229.866666667
T30,16909008.0
T31,16772656.533333333
T32,15886372.0
T33,15886372.0
T34,15789065.6
T35,15399840.0
T36,0.0
T37,0.0
