epoch,value
T0,23.519999999999996
T1,23.519999999999996
T2,1396.2453333333333
T3,5171.24
T4,5171.24
T5,4137.907999999999
T6,4.58
T7,4.58
T8,4.58
T9,4.58
T10,4.58
T11,4.58
T12,4.58
T13,4.58
T14,4.58
T15,4.58
T16,4.58
T17,4.58
T18,4.58
T19,4.58
T20,4.58
T21,4.58
T22,4.58
T23,4.58
T24,4.58
T25,5.149333333333333
T26,12.05
T27,32.85
T28,32.85
T29,29.343333333333337
T30,6.549999999999999
T31,393.0793333333333
T32,2905.5199999999995
T33,2905.5199999999995
T34,3916.5299999999997
T35,7960.569999999998
T36,0.0
T37,0.0
