epoch,value
T0,41.77
T1,41.77
T2,1230.362
T3,4498.99
T4,4498.99
T5,3600.602
T6,7.05
T7,7.05
T8,7.05
T9,7.05
T10,7.049999999999999
T11,7.05
T12,7.05
T13,7.049999999999999
T14,7.049999999999999
T15,7.049999999999999
T16,7.049999999999999
T17,7.049999999999999
T18,7.049999999999999
T19,7.049999999999999
T20,7.05
T21,7.05
T22,7.05
T23,7.049999999999999
T24,7.049999999999999
T25,7.646
T26,14.881333333333332
T27,36.730000000000004
T28,36.730000000000004
T29,32.98866666666666
T30,8.669999999999998
T31,993.566
T32,7395.39
T33,7395.39
T34,7639.636
T35,8616.62
T36,0.0
T37,0.0
